,V_p,A_p,theta,airspeed
392,1915.0,1974.0,0.116733,12.0
393,1908.0,1980.0,0.124767,12.0
394,1906.0,1984.0,0.132122,12.0
395,1901.0,1988.0,0.14023,12.0
396,1897.0,1983.0,0.146845,12.0
397,1897.0,1991.0,0.15182,12.0
398,1898.0,1993.0,0.15632,12.0
399,1890.0,1996.0,0.162703,12.0
400,1897.0,1998.0,0.169497,12.0
401,1893.0,2002.0,0.173587,12.0
402,1889.0,2002.0,0.177,12.0
403,1889.0,2005.0,0.180773,12.0
404,1886.0,2013.0,0.184683,12.0
405,1885.0,2014.0,0.191628,12.0
406,1882.0,2012.0,0.197909,12.0
407,1882.0,2014.0,0.202577,12.0
408,1874.0,2016.0,0.207543,12.0
409,1878.0,2019.0,0.212984,12.0
410,1868.0,2019.0,0.218394,12.0
411,1864.0,2020.0,0.225751,12.0
412,1867.0,2030.0,0.231007,12.0
413,1868.0,2033.0,0.234385,12.0
414,1864.0,2031.0,0.237469,12.0
415,1861.0,2031.0,0.239698,12.0
416,1859.0,2034.0,0.242347,12.0
417,1858.0,2035.0,0.246257,12.0
418,1860.0,2039.0,0.248515,12.0
419,1857.0,2042.0,0.250831,12.0
420,1858.0,2037.0,0.253162,12.0
421,1853.0,2040.0,0.255333,12.0
422,1852.0,2041.0,0.256403,12.0
423,1842.0,2036.0,0.260492,12.0
424,1849.0,2046.0,0.266773,12.0
425,1849.0,2048.0,0.273607,12.0
426,1838.0,2038.0,0.278333,12.0
427,1836.0,2042.0,0.282111,12.0
428,1838.0,2050.0,0.285862,12.0
429,1826.0,2050.0,0.29127,12.0
430,1824.0,2043.0,0.298677,12.0
431,1819.0,2054.0,0.306565,12.0
432,1826.0,2060.0,0.312766,12.0
433,1821.0,2059.0,0.318225,12.0
434,1810.0,2051.0,0.322551,12.0
435,1811.0,2051.0,0.324969,12.0
436,1815.0,2049.0,0.328043,12.0
437,1827.0,2044.0,0.330596,12.0
438,1825.0,2044.0,0.33321,12.0
439,1824.0,2041.0,0.334422,12.0
440,1818.0,2026.0,0.334594,12.0
441,1817.0,2038.0,0.33318,12.0
442,1820.0,2040.0,0.332432,12.0
443,1814.0,2030.0,0.333089,12.0
444,1812.0,2033.0,0.337815,12.0
445,1818.0,2038.0,0.340019,12.0
446,1815.0,2032.0,0.342273,12.0
447,1805.0,2025.0,0.3415,12.0
448,1814.0,2043.0,0.341488,12.0
449,1803.0,2037.0,0.343619,12.0
450,1810.0,2035.0,0.3471,12.0
451,1806.0,2044.0,0.348329,12.0
452,1814.0,2053.0,0.350709,12.0
453,1815.0,2059.0,0.350402,12.0
454,1816.0,2039.0,0.349469,12.0
455,1810.0,2033.0,0.349249,12.0
456,1824.0,2034.0,0.345236,12.0
457,1829.0,2045.0,0.34269,12.0
458,1823.0,2049.0,0.34158,12.0
459,1811.0,2038.0,0.344241,12.0
460,1813.0,2039.0,0.343934,12.0
461,1818.0,2031.0,0.340459,12.0
462,1826.0,2034.0,0.337464,12.0
463,1818.0,2031.0,0.337387,12.0
464,1819.0,2024.0,0.339278,12.0
465,1833.0,2028.0,0.337646,12.0
466,1823.0,2012.0,0.334791,12.0
467,1836.0,2018.0,0.331707,12.0
468,1830.0,2002.0,0.329518,12.0
469,1835.0,2013.0,0.326071,12.0
470,1835.0,2013.0,0.321441,12.0
471,1834.0,2020.0,0.316398,12.0
472,1835.0,2019.0,0.31493,12.0
473,1839.0,2010.0,0.313069,12.0
474,1835.0,2005.0,0.306128,12.0
475,1840.0,2013.0,0.300947,12.0
476,1844.0,2012.0,0.296669,12.0
477,1843.0,2004.0,0.294107,12.0
478,1842.0,2007.0,0.291127,12.0
479,1840.0,2003.0,0.287448,12.0
480,1840.0,2002.0,0.283143,12.0
481,1847.0,2002.0,0.281082,12.0
482,1842.0,2001.0,0.278485,12.0
483,1847.0,1996.0,0.274167,12.0
484,1846.0,2005.0,0.269934,12.0
485,1846.0,2004.0,0.268434,12.0
486,1848.0,2007.0,0.267472,12.0
487,1847.0,2005.0,0.264614,12.0
488,1852.0,2006.0,0.260817,12.0
489,1844.0,2005.0,0.257804,12.0
490,1850.0,2006.0,0.256392,12.0
491,1857.0,2005.0,0.254196,12.0
492,1851.0,1999.0,0.25028,12.0
493,1853.0,2002.0,0.247602,12.0
494,1858.0,2001.0,0.24508,12.0
495,1856.0,2004.0,0.239567,12.0
496,1862.0,1999.0,0.234298,12.0
497,1865.0,1999.0,0.230037,12.0
498,1867.0,2000.0,0.225327,12.0
499,1867.0,1998.0,0.223489,12.0
500,1866.0,1997.0,0.221989,12.0
501,1867.0,1993.0,0.219313,12.0
502,1875.0,1996.0,0.216569,12.0
503,1873.0,1993.0,0.214205,12.0
504,1868.0,1992.0,0.209989,12.0
505,1874.0,1997.0,0.207916,12.0
506,1876.0,1990.0,0.207011,12.0
507,1868.0,1984.0,0.204605,12.0
508,1876.0,1989.0,0.201907,12.0
509,1875.0,1989.0,0.199625,12.0
510,1880.0,1988.0,0.196195,12.0
511,1879.0,1984.0,0.192379,12.0
512,1881.0,1983.0,0.187926,12.0
513,1883.0,1988.0,0.184846,12.0
514,1881.0,1983.0,0.184124,12.0
515,1883.0,1982.0,0.183142,12.0
516,1884.0,1976.0,0.180543,12.0
517,1888.0,1982.0,0.176336,12.0
518,1890.0,1978.0,0.171758,12.0
519,1896.0,1977.0,0.166115,12.0
520,1890.0,1976.0,0.162807,12.0
521,1892.0,1976.0,0.16083,12.0
522,1891.0,1972.0,0.158729,12.0
523,1892.0,1969.0,0.154345,12.0
524,1897.0,1969.0,0.149398,12.0
525,1895.0,1965.0,0.143619,12.0
526,1900.0,1965.0,0.138505,12.0
527,1899.0,1965.0,0.134538,12.0
528,1896.0,1962.0,0.130315,12.0
529,1910.0,1957.0,0.126434,12.0
530,1902.0,1957.0,0.121465,12.0
531,1901.0,1950.0,0.115107,12.0
532,1905.0,1947.0,0.10533,12.0
533,1907.0,1943.0,0.095626,12.0
534,1912.0,1941.0,0.086043,12.0
535,1917.0,1940.0,0.078683,12.0
536,1924.0,1933.0,0.071376,12.0
537,1922.0,1931.0,0.064642,12.0
538,1924.0,1928.0,0.05882,12.0
539,1926.0,1927.0,0.052908,12.0
540,1923.0,1918.0,0.048283,12.0
541,1930.0,1924.0,0.045198,12.0
542,1925.0,1921.0,0.04161,12.0
543,1929.0,1916.0,0.038477,12.0
544,1935.0,1919.0,0.033994,12.0
545,1934.0,1915.0,0.028465,12.0
546,1919.0,1902.0,0.023639,12.0
547,1933.0,1912.0,0.019828,12.0
548,1932.0,1909.0,0.015201,12.0
549,1930.0,1901.0,0.011493,12.0
